originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2003,regionflow_2004,regionflow_2005,regionflow_2006,regionflow_2007,regionflow_2008,regionflow_2009,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014
3,State Universities,4,State Colleges,CSU,Columbus,GGC,Georgia Gwinnett,829,916,928,902,1003,978,1288,1468,1398,1337,1086,1010,0,0,0,0,0,0,1,4,9,4,4,4
2,Comprehensive Universities,3,State Universities,UWG,University of West Georgia,CSC,Clayton,550,601,590,596,633,639,702,707,658,775,750,647,42,45,38,37,28,33,33,22,44,37,26,29
5,Out-of-System,4,State Colleges,OUT,Non-USG Institutions,BAN,Bainbridge,4945,5397,5258,5420,6058,6228,7642,7955,8421,7660,6700,7022,116,146,92,266,199,164,250,280,294,231,213,188
3,State Universities,3,State Universities,GCM,Georgia,GSW,Georgia Southwestern,691,801,890,788,844,859,880,964,938,1023,728,557,2,3,4,6,8,3,7,3,4,3,6,4
4,State Colleges,1,Research Universities,SGC,South Georgia,GIT,Georgia Institute of Technology,2001,1836,2056,2253,2125,2248,2316,2402,2371,2253,2416,2484,0,0,0,1,0,0,3,2,1,0,0,0
4,State Colleges,4,State Colleges,DAR,Darton,CCG,College of Coastal Georgia,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,1,1,3,2,3,2,4,7,3,8,7
4,State Colleges,2,Comprehensive Universities,GHC,Georgia Highlands,GSC,Georgia Southern,2310,2327,2400,2470,2585,2724,3056,3082,3117,2916,2704,2555,11,5,2,10,9,13,10,16,13,7,7,16
4,State Colleges,3,State Universities,GHC,Georgia Highlands,GAN,Gainesville,1682,1929,1953,1991,2073,2256,2455,2437,2424,2475,2320,2178,4,7,5,8,9,12,6,7,8,10,0,0
3,State Universities,2,Comprehensive Universities,FVS,Fort Valley,GSC,Georgia Southern,582,576,679,635,613,675,718,750,897,853,685,665,1,3,3,6,5,3,6,12,12,12,9,12
4,State Colleges,4,State Colleges,GHC,Georgia Highlands,AMC,Atlanta Metropolitan,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,1,0,1,1,1,0,0,1,3,1,3,5
4,State Colleges,4,State Colleges,CCG,College of Coastal Georgia,GGC,Georgia Gwinnett,1071,1182,1250,1372,1624,2042,2227,2559,2418,2596,2172,1837,0,0,0,0,0,0,1,0,1,6,1,1
